method,edge_noise,attr_noise,run,acc,hit1,hit5,runtime
FINAL-style,0.1,0.0,1,0.08823529411764706,0.08823529411764706,0.29411764705882354,
Node2Vec+NN,0.1,0.0,2,0.058823529411764705,0.058823529411764705,0.20588235294117646,0.31065964698791504
FINAL-style,0.1,0.0,2,0.058823529411764705,0.058823529411764705,0.29411764705882354,
Node2Vec+NN,0.1,0.1,0,0.029411764705882353,0.029411764705882353,0.38235294117647056,0.3230743408203125
FINAL-style,0.1,0.1,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.1,0.1,1,0.08823529411764706,0.08823529411764706,0.4117647058823529,0.3069281578063965
FINAL-style,0.1,0.1,1,0.058823529411764705,0.058823529411764705,0.17647058823529413,
Node2Vec+NN,0.1,0.1,2,0.08823529411764706,0.08823529411764706,0.2647058823529412,0.30795812606811523
FINAL-style,0.1,0.1,2,0.029411764705882353,0.029411764705882353,0.20588235294117646,
Node2Vec+NN,0.1,0.2,0,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.3057394027709961
FINAL-style,0.1,0.2,0,0.08823529411764706,0.08823529411764706,0.23529411764705882,
Node2Vec+NN,0.1,0.2,1,0.08823529411764706,0.08823529411764706,0.29411764705882354,0.29466676712036133
FINAL-style,0.1,0.2,1,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.1,0.2,2,0.08823529411764706,0.08823529411764706,0.35294117647058826,0.3024752140045166
FINAL-style,0.1,0.2,2,0.029411764705882353,0.029411764705882353,0.20588235294117646,
Node2Vec+NN,0.1,0.3,0,0.029411764705882353,0.029411764705882353,0.20588235294117646,0.3014042377471924
FINAL-style,0.1,0.3,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.1,0.3,1,0.20588235294117646,0.20588235294117646,0.6176470588235294,0.29941582679748535
FINAL-style,0.1,0.3,1,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.1,0.3,2,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.2889275550842285
FINAL-style,0.1,0.3,2,0.029411764705882353,0.029411764705882353,0.20588235294117646,
Node2Vec+NN,0.1,0.5,0,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.30222582817077637
FINAL-style,0.1,0.5,0,0.029411764705882353,0.029411764705882353,0.23529411764705882,
Node2Vec+NN,0.1,0.5,1,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.2980048656463623
FINAL-style,0.1,0.5,1,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.1,0.5,2,0.08823529411764706,0.08823529411764706,0.5588235294117647,0.288607120513916
FINAL-style,0.1,0.5,2,0.058823529411764705,0.058823529411764705,0.20588235294117646,
Node2Vec+NN,0.2,0.0,0,0.0,0.0,0.058823529411764705,0.2921180725097656
FINAL-style,0.2,0.0,0,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.2,0.0,1,0.029411764705882353,0.029411764705882353,0.29411764705882354,0.2886495590209961
FINAL-style,0.2,0.0,1,0.058823529411764705,0.058823529411764705,0.4411764705882353,
Node2Vec+NN,0.2,0.0,2,0.0,0.0,0.08823529411764706,0.2828199863433838
FINAL-style,0.2,0.0,2,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.2,0.1,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.27313780784606934
FINAL-style,0.2,0.1,0,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.2,0.1,1,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.2939732074737549
FINAL-style,0.2,0.1,1,0.058823529411764705,0.058823529411764705,0.2647058823529412,
Node2Vec+NN,0.2,0.1,2,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.27772092819213867
FINAL-style,0.2,0.1,2,0.058823529411764705,0.058823529411764705,0.23529411764705882,
Node2Vec+NN,0.2,0.2,0,0.029411764705882353,0.029411764705882353,0.20588235294117646,0.28078675270080566
FINAL-style,0.2,0.2,0,0.11764705882352941,0.11764705882352941,0.17647058823529413,
